QueryNumber;QueryTexto
00063;what are the biochemical or microscopic characteristics of airway inflammation in cf patients?
00064;how does lung function change with time in cf patients? (time periods greater than a day)
00065;what are the abnormalities of pulmonary function in cf patients?
00066;what are the pathologic features of lung disease in cf patients?
00067;what is the prognosis for patients who have had an episode of respiratory failure?
00068;what are the effects of bronchodilators in cf patients?
00069;what is the best way to treat pneumothorax in cf patients?
00070;what is the treatment for and prognosis of hemoptysis in cf patients?
00071;what is the prognosis for infants with wheezing and cystic fibrosis?
00072;what is the best treatment for nasal polyps in cf patients?
00073;how effective is bronchial lavage in cf patients?
00074;what are the results of mechanical ventilation in cf patients with respiratory failure?
00075;what is the best treatment for pulmonary hypertension and/or cor pulmonale in cf patients?
00076;what are the effects of exercise training programs on lung function in cf patients?
00077;what techniques are effective in promoting clearance of mucus from the lungs of cf patients?
00078;what special considerations are there for treatment of cf patients with antibiotics (ie, are the pharmacodynamics of antibiotics different in cf patients, or are there other special problems peculiar to cf)?
00079;what is the role of orally administered antibiotics in the treatment of cf patients?
00080;what is the evidence that combination therapy with aminoglycosides and semisynthetic penicillins is more effective than therapy with either alone?
00081;how effective are inhalations of mucolytic agents in the treatment of cf patients?
00082;what is the role of aerosols in the treatment of lung disease in cf patients?
00083;what is the role of bacterial phagocytosis (by alveolar macrophages or polymorphonuclear leukocytes) in lung disease in cf patients?
00084;what is the relationship between haemophilus influenzae and pseudomonas aeruginosa in cf patients?
00085;do cf patients ever develop infection in organs other than the lung? if so, in what organs?
00086;what is the role of bacteria other than pseudomonas aeruginosa, staphylococcus aureus, or haemophilus influenzae in the pathogenesis of lung disease in cf patients?
00087;what is the role of fungi in the pathogenesis of lung disease in cf patients?
00088;what is the role of viral infection in the lung disease of cf patients?
00089;what is the epidemiology of pseudomonas aeruginosa in cf patients? specifically, do cf patients spread pseudomonas aeruginosa to other patients or to other individuals (family)?
00090;what factors are responsible for the appearance of mucoid strains of pseudomonas aeruginosa in cf patients?
00091;what are the unusual manifestations of cf (other than lung disease or exocrine pancreatic insufficiency)?
00092;what is the prognosis for survival of patients with cf?
00094;what animal models are available which are relevant to cf?
00095;what abnormalities of skeletal muscle function or structure have been found in cf patients?
00096;is there an increased incidence of dental problems (eg, caries or periodontal disease) in cf patients?
00097;is oxygen transport by red blood cells abnormal in cf patients?
00098;what are the effects of cf on the development and/or function of the brain and central nervous system?
00099;are there abnormalities of taste in cf patients?
00100;what is the incidence of and treatment for hypertrophic osteoarthropathy in cf patients?
